,22.03.2026 19:02:29,22.03.2026 19:27:10,23.03.2026 05:06:56,24.03.2026 04:56:55,25.03.2026 04:57:12,26.03.2026 05:10:01,27.03.2026 05:10:37,28.03.2026 04:55:57,29.03.2026 05:13:46,30.03.2026 05:28:49,31.03.2026 05:12:20,01.04.2026 05:28:22,02.04.2026 05:06:18,03.04.2026 05:07:53,04.04.2026 04:53:26,05.04.2026 05:15:20,06.04.2026 05:28:00,07.04.2026 05:12:26,08.04.2026 05:14:27,09.04.2026 05:12:49,10.04.2026 05:28:57,11.04.2026 04:59:09,12.04.2026 05:27:05,13.04.2026 05:45:31,14.04.2026 05:27:26,15.04.2026 05:27:45,16.04.2026 05:34:01,17.04.2026 05:31:50,18.04.2026 05:10:00,19.04.2026 05:32:56,20.04.2026 05:45:09,21.04.2026 05:30:28,22.04.2026 05:30:25,23.04.2026 05:33:56,24.04.2026 05:39:02,25.04.2026 05:14:43,26.04.2026 05:43:10,27.04.2026 05:58:34
04.11.2026 - 18.11.2026,,,,,,,,,,,,,,,,,,,,,10065,10065,10065,10065,10180,10180,10089,10089,10089,10180,10089,10375,10375,10558,10558,10558,10558,10552
06.11.2026 - 20.11.2026,,,,,,,,,,,,,,,,,,,,,10276,10276,10276,10276,10276,10276,10276,10276,10276,10507,10507,10507,10507,10507,10507,10507,10507,10501
11.11.2026 - 25.11.2026,,,,,,,,,,,,,,,,,,,,,9866,9955,9955,10069,10069,10069,10069,10069,10069,10182,10182,10182,10182,10295,10295,10295,10295,10289
13.11.2026 - 27.11.2026,,,,,,,,,,,,,,,,,,,,,10366,10366,10366,10366,10366,10366,10366,10366,10366,10366,10366,10366,10366,10366,10366,10366,10366,10360
18.11.2026 - 02.12.2026,,,,,,,,,,,,,,,,,,,,,9842,9955,9955,9955,10069,10069,9899,9899,9899,10092,10092,10092,10092,10092,9922,9922,9922,10006
20.11.2026 - 04.12.2026,,,,,,,,,,,,,,,,,,,,,9861,9861,10065,10065,10065,9986,9986,9986,9986,9986,9986,9986,9986,10089,10180,10089,10089,10288
03.03.2027 - 17.03.2027,,,,,,,,,,,,,,,,,,,,,10066,10066,10066,10066,10066,10066,9974,9974,9974,9974,9974,9974,9974,9974,9974,9974,9974,9969
05.03.2027 - 19.03.2027,,,,,,,,,,,,,,,,,,,,,10148,10148,10148,10148,10148,10148,10148,10148,10148,10148,10148,10148,10148,10148,10148,10148,10148,10142
10.03.2027 - 24.03.2027,,,,,,,,,,,,,,,,,,,,,9974,9974,9974,9974,9974,9974,9974,9974,9974,9974,9974,9974,9974,9974,9974,9974,9974,9969
12.03.2027 - 26.03.2027,,,,,,,,,,,,,,,,,,,,,9959,9959,9959,9959,9959,9959,9959,9959,9959,9959,9959,9959,9959,9959,9959,9959,10050,10044
17.03.2027 - 31.03.2027,,,,,,,,,,,,,,,,,,,,,10050,9959,9959,9959,9959,9959,9959,9959,10166,10166,10166,10166,10166,10166,10166,10166,10166,10160
19.03.2027 - 02.04.2027,,,,,,,,,,,,,,,,,,,,,10074,10166,10166,10166,10166,10166,10281,10664,10479,10479,10479,10479,10479,10479,10306,10306,10306,10300
24.03.2027 - 07.04.2027,,,,,,,,,,,,,,,,,,,,,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10281,10275
26.03.2027 - 09.04.2027,,,,,,,,,,,,,,,,,,,,,10166,10166,10166,10166,10166,10166,10166,10166,10190,10190,10190,10190,10190,10190,10190,10190,10190,10184
31.03.2027 - 14.04.2027,,,,,,,,,,,,,,,,,,,,,10132,10132,10132,10132,10132,10132,10132,10132,10132,10132,10132,10132,10132,10132,10132,10132,10132,10126
02.04.2027 - 16.04.2027,,,,,,,,,,,,,,,,,,,,,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10290,10521,10521,10521,10521,10521,10521,10515
07.04.2027 - 21.04.2027,,,,,,,,,,,,,,,,,,,,,10302,10302,10302,10302,10302,10406,10497,10497,10497,10497,10497,10497,10406,10728,10728,10728,10728,10722
09.04.2027 - 23.04.2027,,,,,,,,,,,,,,,,,,,,,10381,10381,10381,10381,10381,10381,10381,10381,10381,10497,10497,10497,10497,10497,10497,10497,10497,10491
14.04.2027 - 28.04.2027,,,,,,,,,,,,,,,,,,,,,10497,10497,10497,10497,10497,10497,10497,10497,10497,10497,10497,10521,10613,10728,10728,10728,10728,10838
16.04.2027 - 30.04.2027,,,,,,,,,,,,,,,,,,,,,10521,10521,10521,10521,10521,10521,10521,10613,10613,10613,10613,10613,10728,10728,10926,10926,10926,10920
21.04.2027 - 05.05.2027,,,,,,,,,,,,,,,,,,,,,10381,10381,10381,10381,10381,10381,10579,10579,10613,10613,10613,10613,10613,10613,10613,10521,10521,10515
23.04.2027 - 07.05.2027,,,,,,,,,,,,,,,,,,,,,10613,10613,10613,10613,10613,10613,10613,10613,10613,10613,10671,10868,10868,10868,10868,10868,10868,10862
28.04.2027 - 12.05.2027,,,,,,,,,,,,,,,,,,,,,10381,10613,10613,10613,10613,10613,10521,10521,10521,10521,10613,10613,10613,10902,10902,10728,10728,10722
30.04.2027 - 14.05.2027,,,,,,,,,,,,,,,,,,,,,10521,10521,10521,10521,10439,10439,10439,10439,10439,10439,10439,10464,10464,10464,10381,10671,10497,10491
