,01.03.2026 21:29:46,01.03.2026 21:34:07,02.03.2026 04:50:44,03.03.2026 04:49:07,04.03.2026 04:42:40,05.03.2026 04:46:59,06.03.2026 04:44:27,07.03.2026 04:23:28,08.03.2026 04:45:24,09.03.2026 04:54:08,10.03.2026 04:44:28,11.03.2026 04:45:27
30.09.2026 - 15.10.2026,13648,13648,13648,13648,13657,13657,13657,13657,13657,13657,13657,14157
02.10.2026 - 16.10.2026,12660,12660,12660,12660,12795,12795,12795,12666,12666,12666,12795,13424
03.10.2026 - 17.10.2026,12980,12980,12980,12980,12986,12986,12986,12986,12986,12986,12986,13486
07.10.2026 - 22.10.2026,13269,13269,13269,13269,13277,13277,13277,13277,13277,13277,13277,13777
09.10.2026 - 23.10.2026,13348,13348,13348,13348,13353,13353,13353,13353,13353,13353,13353,13853
10.10.2026 - 24.10.2026,13911,13911,13911,13911,13917,13917,13917,13917,13917,13917,13917,14417
14.10.2026 - 29.10.2026,14310,14310,14310,14310,14319,14319,14319,14319,14319,14319,14319,14974
16.10.2026 - 30.10.2026,12994,12994,12994,12994,13000,13000,13000,13000,13000,13000,13000,13500
17.10.2026 - 31.10.2026,13060,13060,13060,13060,13067,13067,13067,13067,13067,13067,13067,13567
21.10.2026 - 05.11.2026,13299,13299,13299,13299,13307,13307,13307,13307,13307,13307,13307,13807
23.10.2026 - 06.11.2026,12086,12086,12086,12086,12092,11962,11962,11962,11962,11962,11962,12462
24.10.2026 - 07.11.2026,11912,11912,11912,11912,11917,11917,11917,11917,11917,11917,11917,12547
28.10.2026 - 12.11.2026,12136,12136,12136,12136,12144,12144,12144,12144,12144,12144,12144,12644
30.10.2026 - 13.11.2026,11903,11903,11903,11903,12168,12168,12168,12168,12168,12168,12168,12668
03.11.2026 - 17.11.2026,11448,11448,11454,11454,11454,11556,11556,11556,11556,11556,11556,11556
07.11.2026 - 21.11.2026,11421,11421,11426,11426,11426,11426,11426,11426,11426,11426,11426,11426
10.11.2026 - 24.11.2026,11421,11421,11426,11426,11426,11426,11426,11426,11426,11426,11426,11426
14.11.2026 - 28.11.2026,11525,11525,11531,11531,11427,11427,11427,11427,11427,11427,11427,11427
17.11.2026 - 01.12.2026,11421,11421,11426,11426,11426,11426,11426,11426,11426,11426,11426,11426
21.11.2026 - 05.12.2026,11421,11421,11426,11426,11426,11426,11426,11531,11531,11531,11531,11531
24.11.2026 - 08.12.2026,11421,11421,11426,11426,11426,11426,11426,11426,11426,11426,11426,11426
28.11.2026 - 12.12.2026,11421,11421,11426,11426,11426,11426,11426,11426,11426,11426,11426,11426
