,01.03.2026 21:28:39,01.03.2026 21:33:00,02.03.2026 04:49:39,03.03.2026 04:48:07,04.03.2026 04:41:41,05.03.2026 04:45:59,06.03.2026 04:43:25,07.03.2026 04:22:29,08.03.2026 04:44:19,09.03.2026 04:53:04,10.03.2026 04:43:24,11.03.2026 04:44:28,13.03.2026 04:45:40,14.03.2026 04:43:42,15.03.2026 05:07:11,16.03.2026 05:17:19,17.03.2026 04:53:07,18.03.2026 04:57:55,19.03.2026 04:55:55,20.03.2026 04:48:34,21.03.2026 04:27:18,22.03.2026 04:53:43,22.03.2026 19:00:45,22.03.2026 19:26:03,23.03.2026 05:04:55,24.03.2026 04:54:50,25.03.2026 04:55:30,26.03.2026 05:08:03,27.03.2026 05:08:40,28.03.2026 04:54:15,29.03.2026 05:12:04,30.03.2026 05:26:50,31.03.2026 05:10:34,01.04.2026 05:26:16,02.04.2026 05:04:35,03.04.2026 05:06:09,04.04.2026 04:51:29,05.04.2026 05:13:33,06.04.2026 05:26:11,07.04.2026 05:10:44,08.04.2026 05:12:45,09.04.2026 05:11:07,10.04.2026 05:26:51,11.04.2026 04:57:11,12.04.2026 05:25:17,13.04.2026 05:43:39,14.04.2026 05:25:26
02.07.2026 - 16.07.2026,4604,4604,4604,4604,4617,4617,4622,4617,4617,4617,4617,4717,4649,4649,4649,4649,4649,4654,4654,4654,4654,4654,4654,4654,4654,4654,4654,4654,4654,4453,4453,4453,4453,4453,4453,4554,4554,4554,4554,4554,4554,4554,4554,,,,4353
09.07.2026 - 16.07.2026,3501,3501,3501,3501,3499,3499,3499,3499,3499,3499,3499,3599,3528,3528,3528,3528,3528,3528,3528,3528,3528,3528,3528,3528,3528,3528,3528,3528,3528,3528,3528,3528,3528,3528,3528,3628,3628,3628,3628,3628,3628,3628,3628,3628,3628,3628,3628
09.07.2026 - 23.07.2026,4750,4750,4750,4750,4764,4764,4840,4764,4764,4764,4764,4864,4792,4792,4792,4792,4792,4866,,,4866,4866,4866,4866,4866,4866,4866,4866,4869,4869,4869,4869,4869,5013,5013,5113,5113,5113,5113,5113,5113,5113,5113,5113,5113,5113,5113
16.07.2026 - 23.07.2026,3403,3403,3403,3403,3402,3478,3478,3478,3478,3478,3478,3578,3499,3499,3499,3499,3549,3549,3549,3549,3549,3549,3549,3549,3549,3549,3549,3549,3549,3549,3549,3549,3549,3549,3549,3649,3649,3649,3649,3649,3649,3649,3649,3649,3649,3649,3649
23.07.2026 - 30.07.2026,3457,3457,3457,3457,3455,3455,3455,3455,3455,3455,3428,3528,3449,3449,3449,3449,3449,3449,3449,3449,3449,3449,3449,3449,3449,3449,3449,3449,3449,3449,3449,3449,3449,3449,3449,3549,3549,3549,3549,3549,3549,3549,3549,3549,3549,3549,3599
30.07.2026 - 06.08.2026,3664,3664,3664,3664,3662,3662,3662,3662,3662,3662,3662,3762,3699,3699,3699,3699,3699,3699,3699,3749,3749,3749,3749,3749,3749,3749,3749,3749,3749,3849,3849,3849,3849,3849,3849,4049,4049,4049,4049,4049,4049,4049,4049,4049,4099,4099,4149
30.07.2026 - 13.08.2026,4914,4914,4914,4914,4928,4928,5149,4928,4928,4928,4928,5028,4965,4965,4965,4965,4965,5038,5038,,,,,,,5089,5089,5089,5236,5336,5336,5336,5336,5336,5336,5537,5537,5537,5537,5537,5537,5537,5537,5537,5587,5587,5637
06.08.2026 - 13.08.2026,3612,3612,3612,3612,3611,3611,3611,3611,3611,3611,3611,3711,3649,3649,3649,3649,3649,3649,3649,3649,3649,3649,3649,3649,3649,3649,3649,3649,3649,3749,3749,3749,3749,3749,3749,3749,3749,3749,3749,3749,3749,3749,3749,3749,3749,3749,3749
13.08.2026 - 20.08.2026,3302,3302,3302,3302,3300,3300,3300,3300,3300,3300,3300,3400,3328,3328,3328,3328,3328,3328,3328,3328,3328,3328,3328,3328,3328,3328,3328,3328,3328,3328,3328,3328,3328,3328,3328,3328,3328,3328,3328,3328,3328,3328,3328,3328,3328,3328,3328
13.08.2026 - 27.08.2026,,,,,,,,,4512,4512,4512,4612,4539,4539,4539,4539,4539,4610,4610,4610,4610,4610,4610,4610,4610,4610,4610,4610,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750
20.08.2026 - 27.08.2026,3427,3427,3427,3427,3425,3425,3425,3425,3425,3425,3425,3525,3449,3449,3449,3449,3449,3449,3449,3449,3449,3449,3449,3449,3449,3449,3449,3449,3449,3249,3249,3249,3249,3249,3249,3249,3249,3249,3249,3249,3249,3249,3249,3249,3249,3249,3199
20.08.2026 - 03.09.2026,,,,,4303,4303,,,,,4303,4403,4327,4327,4327,4327,4327,4379,4379,4379,4379,4379,4379,4379,4379,4379,4379,4379,4482,4282,4282,4282,4282,4282,4282,4282,4282,4282,4282,4282,4282,4282,4282,4282,4282,4282,
27.08.2026 - 03.09.2026,3428,3428,3428,3428,3427,3427,3427,3427,3478,3478,3478,3578,3499,3499,3499,3499,3499,3499,3499,3499,3499,3499,3499,3499,3499,3499,3499,3499,3499,3499,3499,3499,3499,3499,3499,3499,3499,3499,3499,3499,3499,3499,3499,3499,3499,3499,3499
03.09.2026 - 10.09.2026,3580,3580,3580,3580,3578,3578,3578,3578,3578,3578,3578,3778,3628,3628,3628,3628,3628,3628,3628,3628,3628,3628,3628,3628,3628,3628,3628,3628,3628,3678,3678,3678,3678,3678,3678,3678,3678,3678,3678,3678,3678,3678,3678,3678,3678,3678,3678
10.09.2026 - 17.09.2026,3680,3680,3680,3680,3678,3678,3678,3678,3678,3678,3678,3878,3828,3828,3828,3828,3828,3828,3828,3828,3828,3828,3828,3828,3828,3828,3828,3828,3828,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928,3928
17.09.2026 - 24.09.2026,3732,3732,3732,3732,3730,3730,3730,3730,3730,3730,3730,3930,3798,3798,3798,3798,3798,3798,3798,3798,3798,3798,3798,3798,3798,3798,3798,3798,3798,3798,3798,3798,3798,3798,3798,3798,3798,3798,3798,3798,3798,3798,3798,3798,3798,3798,3798
24.09.2026 - 01.10.2026,3663,3663,3663,3663,3662,3662,3662,3728,3728,3728,3728,3928,3779,3779,3779,3779,3779,3779,3779,3779,3779,3779,3779,3779,3779,3779,3779,3779,3779,3878,3878,3878,3878,3878,3878,3878,3878,3878,3878,3878,3878,3878,3878,3878,3878,3878,3878
01.10.2026 - 08.10.2026,3096,3096,3096,3096,3094,3094,3094,3094,3094,3094,3094,3344,3149,3149,3149,3149,3149,3149,3149,3149,3149,3149,3149,3149,3149,3149,3149,3149,3149,3149,3149,3199,3199,3199,3199,3199,3199,3199,3199,3199,3199,3199,3199,3199,3199,3199,3249
08.10.2026 - 15.10.2026,3151,3151,3151,3151,3149,3149,3149,3149,3149,3149,3149,3399,3200,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3150
15.10.2026 - 22.10.2026,2980,2980,2980,2980,2978,2978,2978,2978,2978,2978,2978,3228,3028,3078,3078,3078,3078,3078,3078,3078,3078,3078,3078,3078,3078,3078,3078,3078,3078,2878,2878,2878,2878,2878,2878,2878,2878,2878,2878,2878,2878,2878,2878,2878,2878,2878,2928
22.10.2026 - 29.10.2026,3097,3097,3097,3097,3095,3095,3095,3095,3095,3095,3095,3345,3149,3149,3149,3149,3149,3149,3149,3149,3149,3149,3149,3149,3149,3149,3149,3149,3149,2949,2949,2949,2949,2949,2949,2949,2949,2949,2949,2949,2949,2949,2949,2949,2949,2949,2849
22.10.2026 - 05.11.2026,3943,3943,3943,3943,3956,3956,3956,3956,3956,3956,3956,4206,4014,4014,4014,4014,4014,4014,4014,4014,4014,4014,4014,4014,4014,4014,4014,4014,4014,3819,3819,3819,3819,3819,3819,3819,3715,3715,3715,3715,3715,3715,3715,3715,3715,3715,3617
29.10.2026 - 05.11.2026,3036,3036,3036,3036,3035,3035,3035,3035,3035,3035,3035,3285,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2800
29.10.2026 - 12.11.2026,3969,3969,3969,3969,3982,3982,3982,3982,3982,3982,3982,4232,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,4044,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3840,3739
05.11.2026 - 12.11.2026,3496,3496,3496,3496,3494,3494,3494,3494,3494,3494,3494,3694,3549,3549,3549,3549,3549,3549,3549,3549,3549,3549,3549,3549,3549,3549,3549,3549,3549,3549,3549,3549,3549,3549,3549,3549,3549,3549,3549,3549,3549,3549,3549,3549,3549,3549,3549
12.11.2026 - 19.11.2026,3669,3669,3664,3664,3664,3664,3664,3664,3664,3664,3664,3664,3664,3664,3664,3664,3664,3664,3664,3664,3664,3664,3664,3664,3664,3664,3664,3664,3664,3664,3664,3664,3664,3664,3664,3664,3664,3664,3664,3664,3664,3664,3664,3664,3664,3664,3664
12.11.2026 - 26.11.2026,4478,4478,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490
19.11.2026 - 26.11.2026,3549,3549,3545,3545,3545,3545,3545,3545,3545,3545,3545,3545,3545,3545,3545,3545,3545,3545,3545,3545,3545,3545,3545,3545,3545,3545,3545,3545,3545,3545,3545,3545,3545,3545,3545,3545,3545,3545,3545,3545,3545,3545,3545,3545,3545,3545,3545
19.11.2026 - 03.12.2026,4358,4358,4370,4370,4370,4370,4370,4370,4370,4370,4370,4370,4370,4370,4370,4370,4370,4370,4370,4370,4370,4370,4370,4370,4370,4370,4370,4370,4370,4370,4370,4370,4370,4370,4370,4370,4370,4370,4370,4370,4370,4370,4370,4370,4370,4370,4370
26.11.2026 - 03.12.2026,3511,3511,3506,3506,3506,3506,3506,3506,3506,3506,3506,3506,3506,3506,3506,3506,3506,3506,3506,3506,3506,3506,3506,3506,3506,3506,3506,3506,3506,3506,3506,3506,3506,3506,3506,3506,3506,3506,3506,3506,3506,3506,3506,3506,3506,3506,3506
26.11.2026 - 10.12.2026,4307,4307,4318,4318,4318,4318,4318,4318,4318,4318,4318,4318,4318,4318,4318,4318,4318,4318,4318,4318,4318,4318,4318,4318,4318,4318,4318,4318,4318,4318,4318,4318,4318,4318,4318,4318,4318,4318,4318,4318,4318,4318,4318,4318,4318,4318,4318
03.12.2026 - 10.12.2026,3445,3445,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440,3440
03.12.2026 - 17.12.2026,4254,4254,4265,4265,4265,4265,4265,4265,4265,4265,4265,4265,4265,4265,4265,4265,4265,4265,4265,4265,4265,4265,4265,4265,4265,4265,4265,4265,4265,4265,4265,4265,4265,4265,4265,4265,4265,4265,4265,4265,4265,4265,4265,4265,4265,4265,4265
