,22.03.2026 19:01:56,22.03.2026 19:26:50,23.03.2026 05:06:18,24.03.2026 04:56:12,25.03.2026 04:56:40,26.03.2026 05:09:22,27.03.2026 05:09:58,28.03.2026 04:55:24,29.03.2026 05:13:13,30.03.2026 05:28:11,31.03.2026 05:11:46,01.04.2026 05:27:39,02.04.2026 05:05:44,03.04.2026 05:07:17,04.04.2026 04:52:47,05.04.2026 05:14:45,06.04.2026 05:27:26,07.04.2026 05:11:53,08.04.2026 05:13:54,09.04.2026 05:12:16,10.04.2026 05:28:15,11.04.2026 04:58:30,12.04.2026 05:26:28
08.07.2026 - 18.07.2026,13642,13642,13642,13642,13642,13642,13642,13642,13642,13642,13642,13761,13761,13761,13667,13667,13667,13667,13667,13667,13667,13667,13667
12.07.2026 - 23.07.2026,13849,13849,13849,13849,13849,13849,13849,13849,13849,13849,13849,13849,13849,13849,13849,13849,13849,13849,13849,13849,13849,13849,13849
12.07.2026 - 24.07.2026,16475,16475,16475,16475,16475,16475,16475,16475,16475,16475,16475,16475,16475,16475,16475,16475,16475,16475,16475,16475,16475,16475,16475
15.07.2026 - 25.07.2026,13734,13734,13734,13734,13734,13843,13843,13843,13843,13843,13843,13843,13843,13843,13843,13843,13843,13843,13843,13843,13843,13843,13843
19.07.2026 - 30.07.2026,13883,13883,13883,13883,13883,13883,13883,13883,13883,13883,13883,13883,13883,13883,13883,13883,13883,13883,13883,13883,13883,13883,13883
19.07.2026 - 31.07.2026,14905,14905,14905,14905,14905,14905,14905,14905,14905,14905,14905,14905,14905,14905,14905,14905,14905,14905,14905,14905,14905,14905,14905
22.07.2026 - 01.08.2026,14285,14285,14285,14285,14285,14285,14285,14285,14285,14285,14285,14285,14285,14285,14285,14285,14285,14285,14285,14285,14285,14285,14285
26.07.2026 - 06.08.2026,13881,13881,13881,13881,13881,13881,13916,13953,13953,13953,13916,13916,13916,13881,13881,13881,13881,13881,13881,13881,13881,13881,13881
29.07.2026 - 08.08.2026,14074,14074,14074,14074,14074,14074,14074,14074,14074,14074,14074,14074,14074,14074,14074,14074,14074,14074,14074,14074,14074,14074,14074
02.08.2026 - 13.08.2026,13797,13797,13797,13797,13797,13797,13797,13834,13834,13834,13834,13882,13882,13882,13857,13857,13857,13857,13857,13857,13857,13857,13857
02.08.2026 - 14.08.2026,15085,15085,15085,15085,15085,15085,15085,15120,15120,15120,15120,15157,15157,15157,15120,15120,15120,15120,15120,15120,15120,15120,15120
05.08.2026 - 15.08.2026,14735,14735,14735,14735,14735,14735,14735,14735,14735,14735,14735,14828,14828,14828,14735,14735,14735,14735,14735,14735,14735,14735,14735
09.08.2026 - 21.08.2026,16326,16326,16326,16326,16326,16326,16326,16326,16292,16292,16292,16292,16292,16292,16326,16326,16326,16326,16326,16326,16326,16326,16292
12.08.2026 - 22.08.2026,14043,14043,14043,13949,13949,13949,13949,13949,13949,13949,13949,13949,13949,13949,13949,13949,13949,13949,13949,13949,13949,13949,13949
16.08.2026 - 27.08.2026,14543,14543,14543,14543,14543,14543,14543,14543,14543,14543,14543,14543,14543,14543,14543,14543,14543,14543,14543,14543,14543,14543,14543
16.08.2026 - 28.08.2026,15574,15574,15574,15574,15574,15574,15574,15574,15574,15574,15574,15574,15574,15574,15574,15574,15574,15574,15574,15574,15574,15574,15574
19.08.2026 - 29.08.2026,14260,14260,14260,14175,14175,14175,14175,14175,14175,14175,14175,14175,14175,14175,14175,14175,14175,14175,14175,14175,14175,14175,14175
23.08.2026 - 04.09.2026,15014,15014,15014,15014,15014,15014,15014,15014,15014,15014,15014,15014,15014,15014,15014,15014,15014,15014,15014,15014,15014,15014,15014
26.08.2026 - 05.09.2026,13781,13781,13781,13781,13781,13781,13781,13781,13781,13781,13781,13781,13889,13889,13889,13889,13889,13889,13804,13804,13804,13804,13804
30.08.2026 - 10.09.2026,14242,14242,14242,14242,14242,14242,14242,14242,14242,14242,14242,14242,14242,14242,14242,14242,14242,14242,14242,14242,14277,14277,14277
30.08.2026 - 11.09.2026,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15274,15274,15274
02.09.2026 - 12.09.2026,14497,14497,14497,14497,14497,14497,14604,14698,14698,14698,14698,14698,14817,14817,15056,15056,15056,15056,15081,15081,15081,15200,15200
06.09.2026 - 17.09.2026,14302,14302,14302,14361,14361,14361,14361,14361,14361,14361,14361,14361,14361,14361,14361,14361,14361,14361,14361,14361,14361,14361,14361
06.09.2026 - 18.09.2026,15202,15202,15202,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236
09.09.2026 - 19.09.2026,15139,15139,15139,15139,15139,15139,15139,15139,15139,15139,15139,15139,15139,15139,15139,15139,15139,15139,15139,15139,15139,15139,15139
13.09.2026 - 24.09.2026,14361,14361,14361,14361,14361,14361,14361,14361,14361,14361,14361,14361,14361,14361,14361,14361,14361,14361,14361,14361,14361,14361,14361
13.09.2026 - 25.09.2026,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236
16.09.2026 - 26.09.2026,14222,14222,14222,14222,14222,14222,14222,14222,14222,14222,14222,14222,14222,14222,14222,14222,14222,14222,14222,14222,14222,14222,14222
20.09.2026 - 02.10.2026,15651,15651,15651,15651,15651,15651,15651,15651,15651,15651,15651,15651,15651,15651,15651,15651,15651,15651,15651,15651,15651,15651,15651
23.09.2026 - 03.10.2026,14127,14127,14127,14127,14127,14127,14127,14127,14127,14127,14127,14127,14127,14127,14127,14127,14127,14127,14127,14127,14127,14127,14127
27.09.2026 - 08.10.2026,14699,14699,14699,14699,14699,14699,14699,14699,14699,14699,14699,14699,14699,14699,14699,14699,14699,14699,14699,14699,14699,14699,14699
30.09.2026 - 11.10.2026,14141,14141,14141,14141,14141,14141,14141,14141,14141,14141,14141,14141,14141,14141,14141,14141,14141,14141,14141,14141,14141,14141,14141
04.10.2026 - 15.10.2026,13503,13503,13503,13503,13503,13503,13503,13503,13503,13503,13503,13503,13540,13540,13540,13540,13540,13540,13540,13540,13540,13540,13540
07.10.2026 - 18.10.2026,13891,13891,13891,13891,13891,13891,13891,13891,13891,13891,13891,13891,13891,13891,13891,13891,13891,13891,13891,13891,13891,13891,13891
11.10.2026 - 22.10.2026,14242,14242,14242,14242,14242,14242,14242,14242,14242,14242,14242,14242,14242,14242,14242,14242,14242,14242,14242,14242,14242,14242,14242
11.10.2026 - 23.10.2026,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236,15236
14.10.2026 - 25.10.2026,13985,13985,13985,13985,13985,14022,14022,14022,14022,14022,13985,13985,13985,13985,13985,13985,13985,13985,13985,13985,13985,13985,13985
18.10.2026 - 28.10.2026,13345,13345,13345,13345,13345,13345,13345,13345,13345,13345,13345,13345,13345,13345,13345,13345,13345,13345,13345,13345,13345,13345,13345
21.10.2026 - 01.11.2026,13866,13866,13866,13866,13866,13866,13866,13866,13866,13866,13866,13866,13866,13866,13866,13866,13866,13866,13866,13866,13866,13866,13866
25.10.2026 - 04.11.2026,13186,13186,13186,13186,13186,13186,13186,13186,13186,13186,13186,13186,13186,13186,13186,13186,13186,13186,13186,13186,13186,13186,13186
28.10.2026 - 08.11.2026,13551,13551,13551,13551,13551,13551,13551,13551,13551,13551,13551,13551,13551,13551,13551,13551,13551,13551,13551,13551,13551,13551,13551
04.11.2026 - 15.11.2026,12765,12765,12765,12765,12825,12825,12825,12825,12825,12825,12825,12862,12862,12862,12825,12825,12825,12825,12825,12825,12825,12825,12825
18.11.2026 - 29.11.2026,11213,11213,11213,11213,11213,11213,11213,11213,11213,11213,11213,11213,11213,11213,11213,11213,11213,11213,11213,11213,11213,11213,11213
25.11.2026 - 06.12.2026,11150,11150,11150,11150,11246,11246,11246,11246,11246,11246,11246,11246,11246,11246,11246,11246,11246,11246,11246,11246,11246,11246,11246
03.03.2027 - 14.03.2027,11842,11842,11842,11842,11842,11842,11842,11842,11842,11842,11842,11842,11842,11842,11842,11842,11842,11842,11842,11842,11842,11842,11842
10.03.2027 - 21.03.2027,11842,11842,11842,11842,11842,11842,11842,11842,11842,11842,11842,11842,11842,11842,11842,11842,11842,11842,11842,11842,11842,11842,11842
17.03.2027 - 28.03.2027,12013,12013,12013,12013,12013,12013,12013,12013,12013,12013,12013,12013,12013,12013,12013,12013,12013,12013,12013,12013,12013,12013,12013
24.03.2027 - 04.04.2027,12234,12234,12234,12234,12234,12234,12234,12234,12234,12234,12356,12356,12356,12356,12356,12356,12356,12356,12356,12356,12356,12356,12356
31.03.2027 - 11.04.2027,12011,12011,12011,12011,12011,12011,12011,12011,12011,12011,12011,12011,12011,12011,12011,12011,12011,12011,12011,12135,12135,12135,12135
07.04.2027 - 18.04.2027,12134,12134,12134,12134,12134,12134,12134,12134,12134,12134,12134,12134,12134,12134,12134,12134,12134,12134,12134,12134,12134,12134,12134
14.04.2027 - 25.04.2027,12235,12235,12235,12235,12235,12235,12235,12235,12235,12235,12235,12235,12235,12235,12235,12235,12235,12235,12235,12235,12235,12235,12235
21.04.2027 - 02.05.2027,12114,12114,12114,12114,12235,12356,12356,12356,12356,12356,12356,12356,12356,12356,12356,12356,12356,12356,12356,12356,12356,12356,12356
