,22.03.2026 19:02:12,23.03.2026 05:06:37,24.03.2026 04:56:33,25.03.2026 04:56:56,26.03.2026 05:09:42,27.03.2026 05:10:17,28.03.2026 04:55:41,29.03.2026 05:13:30,30.03.2026 05:28:30,31.03.2026 05:12:03,01.04.2026 05:28:00,02.04.2026 05:06:00,03.04.2026 05:07:34,04.04.2026 04:53:06,05.04.2026 05:15:02,06.04.2026 05:27:43,07.04.2026 05:12:10,08.04.2026 05:14:10,09.04.2026 05:12:32,10.04.2026 05:28:35,11.04.2026 04:58:49,12.04.2026 05:26:48,13.04.2026 05:45:11,14.04.2026 05:27:06,15.04.2026 05:27:27,16.04.2026 05:33:45
14.10.2026 - 25.10.2026,14531,14531,14531,14531,14531,14531,14531,14531,14531,14531,14531,14531,14531,14531,14531,14531,14531,14531,14531,14531,14531,14531,14531,14531,14531,14531
21.10.2026 - 01.11.2026,13802,13802,13802,13802,13802,13802,13802,13802,13802,13802,13802,13901,14002,14002,14002,14002,14002,14002,14002,14002,14002,14002,14002,14002,14002,14002
28.10.2026 - 08.11.2026,13037,13037,13037,13037,13037,13037,13037,13138,13138,13138,13138,13138,13037,13037,13037,13037,13037,13037,13037,13037,13037,13037,13037,13037,13037,13037
04.11.2026 - 16.11.2026,12864,12864,12864,12864,12964,13064,13064,13064,13164,13164,13164,13064,13064,13064,13064,13064,13064,12964,12964,12964,12964,12964,12964,12964,13064,13064
11.11.2026 - 23.11.2026,12664,12664,12564,12564,12564,12564,12564,12564,12564,12564,12564,12564,12564,12564,12564,12564,12564,12564,12564,12564,12664,12664,12664,12764,12864,12864
18.11.2026 - 30.11.2026,12491,12491,12491,12491,12491,12491,12491,12491,12491,12491,12491,12491,12491,12491,12491,12491,12491,12491,12491,12491,12491,12504,12504,12504,12504,12504
23.11.2026 - 04.12.2026,11581,11581,11581,11581,11581,11581,11581,11581,11681,11781,11781,11681,11681,11681,11681,11681,11681,11681,11681,11681,11781,11781,11781,11781,11881,11981
25.11.2026 - 07.12.2026,12391,12391,12391,12391,12391,12504,12504,12504,12504,12504,12504,12504,12504,12504,12504,12504,12504,12504,12504,12504,12504,12504,12504,12504,12504,12504
28.11.2026 - 09.12.2026,11331,11331,11331,11231,11331,11731,11731,11731,11731,11631,11631,11431,11431,11431,11431,11431,11431,11331,11431,11531,11631,11631,11631,11631,11631,11631
23.12.2026 - 04.01.2027,12564,12564,12564,12564,12564,12564,12564,12564,12564,12564,12564,12564,12564,12564,12664,12864,12864,12664,12664,12664,12564,12564,12564,12564,12564,12564
03.03.2027 - 15.03.2027,12764,12764,12964,12764,12864,12864,12864,12864,12864,12864,12864,12864,12864,12964,12964,12964,12964,12964,12864,12864,12864,12864,12864,12864,12864,12864
10.03.2027 - 22.03.2027,12983,12983,13083,13183,13183,13183,13183,13183,13183,13183,13183,13183,13183,13183,13183,13183,13183,13283,13283,13283,13283,13283,13283,13283,13283,13283
17.03.2027 - 29.03.2027,13133,13133,13133,13133,13133,13133,13133,13133,13133,13133,13133,13133,13133,13133,13133,13133,13133,13133,13133,13133,13133,13133,13133,13133,13133,13133
24.03.2027 - 05.04.2027,13634,13634,13534,13534,13434,13434,13434,13434,13534,13534,13534,13534,13534,13434,13434,13434,13434,13434,13434,13434,13434,13434,13434,13434,13434,13534
31.03.2027 - 12.04.2027,14234,14234,14234,14234,14234,14234,14234,14234,14334,14334,14434,14434,14534,14334,14334,14334,14334,14334,14334,14334,14334,14434,14434,14434,14434,14434
07.04.2027 - 19.04.2027,13434,13434,13434,13434,13434,13434,13434,13434,13434,13534,13534,13534,13634,13634,13634,13634,13634,13634,13634,13534,13534,13534,13534,13534,13534,13534
14.04.2027 - 26.04.2027,13133,13133,13133,13133,13233,13233,13334,13334,13334,13334,13334,13233,13233,13233,13334,13233,13233,13233,13233,13233,13434,13434,13434,13434,13434,13434
21.04.2027 - 03.05.2027,13133,13133,13233,13233,13233,13233,13233,13233,13233,13233,13233,13233,13233,13434,13434,13434,13434,13434,13434,13334,13334,13334,13334,13334,13334,13334
28.04.2027 - 10.05.2027,13133,13133,13133,13133,13133,13133,13133,13133,13233,13233,13233,13434,13534,13434,13434,13434,13434,13233,13233,13233,13233,13233,13233,13233,13233,13233
