,22.03.2026 19:02:42,22.03.2026 19:27:20,23.03.2026 05:07:11,24.03.2026 04:57:10,25.03.2026 04:57:25,26.03.2026 05:10:16,27.03.2026 05:10:52,28.03.2026 04:56:11,29.03.2026 05:13:59,30.03.2026 05:29:04,31.03.2026 05:12:34,01.04.2026 05:28:37,02.04.2026 05:06:32,03.04.2026 05:08:06,04.04.2026 04:53:42,05.04.2026 05:15:33,06.04.2026 05:28:13,07.04.2026 05:12:39,08.04.2026 05:14:40,09.04.2026 05:13:02,10.04.2026 05:29:12,11.04.2026 04:59:23,12.04.2026 05:27:19,13.04.2026 05:45:45,14.04.2026 05:27:40,15.04.2026 05:27:59,16.04.2026 05:34:14,17.04.2026 05:32:04,18.04.2026 05:10:14,19.04.2026 05:33:11,20.04.2026 05:45:22,21.04.2026 05:30:42,22.04.2026 05:30:45,23.04.2026 05:34:10,24.04.2026 05:39:16,25.04.2026 05:14:57,26.04.2026 05:43:24,27.04.2026 05:58:49,28.04.2026 06:10:48,29.04.2026 05:58:05,30.04.2026 06:09:24,01.05.2026 06:19:36,02.05.2026 05:40:15,03.05.2026 06:08:52,04.05.2026 06:17:48,05.05.2026 05:46:57,06.05.2026 06:08:46,07.05.2026 06:14:27,08.05.2026 05:34:23,09.05.2026 05:52:13,10.05.2026 06:15:36,11.05.2026 06:45:17,12.05.2026 06:18:14,13.05.2026 06:29:33,14.05.2026 06:28:40,15.05.2026 06:37:19,16.05.2026 05:58:14,17.05.2026 04:30:05,18.05.2026 04:34:47,19.05.2026 04:31:06,20.05.2026 04:33:27,22.05.2026 04:32:39,23.05.2026 04:22:55,24.05.2026 04:34:14,25.05.2026 04:37:19,26.05.2026 04:32:01,27.05.2026 04:36:12,28.05.2026 04:33:47,29.05.2026 04:35:24,30.05.2026 04:27:30,31.05.2026 04:36:16,01.06.2026 04:39:10
10.01.2027 - 25.01.2027,11325,11325,11325,11325,11325,11325,11393,11393,11393,11393,11393,11393,11325,11393,11393,11393,11393,11393,11325,11325,11325,11455,11455,11509,11509,11509,11509,11509,11455,11455,11455,11455,11571,11571,11571,11571,11571,11565,11571,11571,11571,11571,11571,11571,11571,11571,11571,11571,11371,11371,11371,11371,11371,11371,11371,11371,10471,10471,10471,10067,10067,10067,10067,10067,10067,10067,10067,10067,10067,10067,10067,10067
17.01.2027 - 01.02.2027,12120,12120,12120,12051,12051,12120,12120,12120,12120,12120,12120,12120,12120,12120,12120,12120,12120,12120,12120,12120,12120,12181,12181,12181,12181,12295,12295,12295,12295,12295,12295,12295,12370,12370,12370,12370,12370,12363,12370,12370,12370,12370,12370,12370,12370,12370,12370,12370,12170,12170,12170,12170,12170,12170,12170,12170,11270,11270,11270,10741,10741,10741,10741,10741,10741,10741,10741,10741,10782,10782,10782,10782
24.01.2027 - 08.02.2027,12764,12764,12764,12764,12764,12825,12825,12825,12825,12825,12825,12825,12825,12825,12825,12825,12825,12825,12825,12825,12825,12825,12825,12825,12825,12825,12825,12825,12825,12825,12825,12825,12846,12846,12846,12846,12846,12840,12846,12846,12846,12846,12846,12846,12846,12846,12846,12846,12646,12646,12646,12646,12646,12646,12646,12646,11746,11746,11746,11223,11223,11223,11223,11223,11223,11223,11223,11223,11223,11223,11223,11223
31.01.2027 - 15.02.2027,13086,13086,13086,13086,13086,13086,13086,13086,13086,13086,13086,13086,13086,13086,13086,13086,13086,13086,13086,13086,13086,13271,13271,13271,13271,13271,13271,13271,13271,13271,13271,13271,13271,13271,13271,13271,13271,13264,13271,13271,13271,13271,13271,13271,13271,13271,13271,13271,13071,13071,13071,13071,13071,13071,13071,13071,12171,12171,12171,11643,11643,11643,11643,11643,11643,11643,11643,11643,11643,11643,11643,11643
07.02.2027 - 22.02.2027,12943,12943,12943,12943,12943,12943,12943,12943,12943,12943,12943,12943,12943,12943,12943,12943,12943,12943,12943,12943,12943,13073,13073,13073,13073,13073,13073,13073,13073,13073,13073,13073,13107,13107,13107,13107,13107,13101,13107,13107,13107,13107,13107,13107,13107,13107,13107,13107,12907,12907,12907,12907,12907,12907,12907,12907,12007,12007,12007,11492,11492,11492,11492,11492,11492,11492,11492,11492,11492,11492,11492,11492
14.02.2027 - 01.03.2027,12408,12408,12408,12408,12408,12408,12408,12482,12482,12482,12482,12482,12408,12408,12408,12408,12408,12408,12408,12408,12408,12482,12482,12482,12482,12482,12482,12482,12482,12482,12482,12882,12936,12936,12936,12916,12916,12909,12916,12916,12916,12916,12916,12916,12916,12916,12916,12916,12316,12316,12316,12316,12316,12316,12316,12316,11416,11436,11436,10931,10931,10910,10992,10992,11002,11002,10979,10979,10979,10910,10910,10910
21.02.2027 - 08.03.2027,11991,11991,11991,11991,11991,11991,11991,11991,11991,11991,11991,11991,11991,11991,11991,11991,11991,11991,11991,11991,11991,12121,12121,12121,12121,12121,12121,12121,12121,12121,12121,12521,12555,12555,12555,12555,12555,12549,12555,12555,12555,12555,12555,12555,12555,12555,12555,12555,11955,11955,11955,11955,11955,11955,11955,11955,11055,11055,11055,10567,10567,10567,10567,10567,10567,10567,10567,10567,10567,10567,10567,10567
28.02.2027 - 15.03.2027,11275,11275,11275,11275,11275,11275,11275,11275,11275,11275,11275,11275,11275,11275,11275,11275,11275,11275,11275,11275,11275,11336,11336,11336,11336,11336,11336,11336,11336,11336,11336,11448,11483,11483,11483,11483,11483,11476,11483,11483,11483,11483,11483,11483,11483,11483,11483,11483,11283,11283,11283,11283,11283,11283,11283,11283,10383,10383,10383,9867,9867,9867,9867,9867,9867,9867,9867,9867,9867,9867,9867,9867
07.03.2027 - 22.03.2027,11024,11024,11024,11024,11024,11058,11058,11058,11058,11058,11058,11058,11058,11058,11058,11058,11058,11058,11058,11058,11058,11058,11058,11058,11058,11058,11058,11058,11058,11058,11058,11058,11058,11106,11106,11218,11218,11212,11273,11218,11218,11218,11218,11218,11218,11218,11218,11218,11018,11018,11018,11018,11018,11018,11073,11073,10200,10200,10200,9672,9644,9644,9644,9644,9644,9644,9644,9644,9672,9644,9644,9644
14.03.2027 - 29.03.2027,10770,10770,10770,10770,10770,10770,10770,10770,10770,10770,10770,10770,10770,10770,10770,10770,10770,10770,10770,10770,10770,10804,10804,10804,10804,10804,10804,10804,10804,10804,10804,10804,10804,10804,10804,10804,10804,10798,10804,10804,10804,10804,10804,10804,10804,10804,10804,10804,10604,10604,10604,10604,10604,10604,10604,10604,9704,9704,9704,9233,9233,9233,9363,9363,9363,9363,9363,9363,9363,9363,9363,9363
