,22.03.2026 19:01:58,23.03.2026 05:06:21,24.03.2026 04:56:16,25.03.2026 04:56:42,26.03.2026 05:09:25,27.03.2026 05:10:01,28.03.2026 04:55:27,29.03.2026 05:13:15,30.03.2026 05:28:14,31.03.2026 05:11:48,01.04.2026 05:27:43,02.04.2026 05:05:46,03.04.2026 05:07:20,04.04.2026 04:52:50,05.04.2026 05:14:47,06.04.2026 05:27:28,07.04.2026 05:11:56,08.04.2026 05:13:57,09.04.2026 05:12:18,10.04.2026 05:28:18,11.04.2026 04:58:33,12.04.2026 05:26:33,13.04.2026 05:44:55,14.04.2026 05:26:50
18.03.2027 - 02.04.2027,20297,20297,20297,20297,20297,20297,20297,20297,20297,20297,20297,20297,20297,20297,20297,20297,20297,20297,20297,20297,20297,20297,20297,20297
19.03.2027 - 03.04.2027,20541,20541,20541,20541,20541,20541,20541,20541,20541,20541,20541,20541,20541,20541,20541,20541,20541,20541,20541,20541,20541,20541,20541,20541
25.03.2027 - 09.04.2027,20297,20297,20297,20297,20297,20297,20297,20297,20297,20297,20297,20297,20423,20423,20423,20423,20423,20423,20423,20423,20423,20423,20423,20423
26.03.2027 - 10.04.2027,20441,20441,20441,20441,20441,20441,20441,20441,20441,20441,20441,20441,20441,20441,20441,20441,20441,20441,20441,20441,20441,20441,20441,20441
01.04.2027 - 16.04.2027,20197,20197,20197,20197,20197,20197,20197,20197,20193,20325,20325,20325,20325,20325,20325,20325,20325,20442,20442,20442,20442,20442,20442,20442
02.04.2027 - 17.04.2027,20325,20325,20325,20325,20325,20325,20325,20325,20325,20325,20325,20325,20325,20325,20325,20325,20325,20325,20325,20325,20325,20325,20325,20325
08.04.2027 - 23.04.2027,20383,20383,20383,20500,20500,20500,20500,20500,20500,20500,20500,20500,20500,20500,20500,20500,20500,20500,20500,20500,20500,20500,20500,20500
09.04.2027 - 24.04.2027,20040,20040,20040,20040,20040,20040,20040,20040,20040,20040,20040,20040,20157,20157,20273,20273,20273,20273,20273,20273,20273,20273,20273,20273
15.04.2027 - 30.04.2027,20036,20036,20158,20158,20158,20158,20158,20158,20158,20158,20158,20158,20158,20158,20158,20158,20158,20158,20275,20275,20392,20392,20392,20392
16.04.2027 - 01.05.2027,20140,20140,20140,20140,20140,20140,20140,20140,20140,20140,20140,20257,20257,20257,20257,20257,20257,20257,20257,20257,20257,20257,20257,20257
