,16.03.2025 22:28:52,17.03.2025 03:37:57,17.03.2025 21:20:31,18.03.2025 03:38:01,19.03.2025 03:37:19,20.03.2025 03:35:54,21.03.2025 03:37:54,22.03.2025 03:39:54,23.03.2025 03:40:04,24.03.2025 03:41:51,25.03.2025 03:38:53
25.07 - 06.08,,,,,,,14121,,,,
28.07 - 08.08,,,,,,13948,,13948,13948,13948,13948
01.08 - 13.08,,,,,,,14111,,,,
04.08 - 15.08,13628,13628,13628,13628,13628,17975,,17975,17975,17975,17975
08.08 - 20.08,,,,,,,13582,,,,
11.08 - 22.08,13433,13433,13433,13433,13433,13433,,13433,13433,13433,13433
15.08 - 26.08,12232,12232,12232,12232,12232,12232,,12232,12577,12577,12577
15.08 - 27.08,,,,,,,13997,,,,
18.08 - 29.08,13351,13351,13351,13351,13351,12913,,13012,13012,13012,13012
22.08 - 03.09,,,,,,,12796,,,,
25.08 - 05.09,,,13329,13329,13329,13076,,13076,13076,13076,13076
29.08 - 10.09,,,,,,,13531,,,,
01.09 - 12.09,,,14581,14581,14581,14581,,14581,14581,14581,14581
05.09 - 17.09,,,,,,,15826,,,,
08.09 - 19.09,,,13479,13479,13479,13479,,13479,13479,13479,13479
12.09 - 24.09,,,,,,,14306,,,,
15.09 - 26.09,13677,13677,13677,13677,13677,13677,,13677,13677,13677,13677
19.09 - 01.10,,,,,,,13999,,,,
29.09 - 10.10,13746,13746,13746,13746,13746,13085,,13085,13085,13085,13085
03.10 - 14.10,13683,13683,13683,13683,13683,13004,,13115,13115,13115,13004
06.10 - 17.10,13405,13405,13405,13405,13405,13405,,13405,13405,13405,13405
17.10 - 29.10,,,,,,,13604,,,,
20.10 - 31.10,13719,13719,13719,13719,13719,13087,,13087,13087,13115,13115
24.10 - 04.11,12428,12428,12428,12428,12428,11009,,11260,11260,11260,11495
24.10 - 05.11,,,,,,,13331,,,,
27.10 - 07.11,12261,12261,12261,12261,12261,10995,,10995,10995,10995,10995
31.10 - 12.11,,,,,,,12839,,,,
03.11 - 14.11,,,9552,9552,9552,9552,,9552,9552,9552,9552
07.11 - 19.11,,,,,,,9317,,,,
10.11 - 21.11,9293,9293,9293,9293,9293,9293,,9293,9293,9293,9293
14.11 - 26.11,,,,,,,9331,,,,
17.11 - 28.11,9099,9099,8997,8997,8997,9099,,8997,8997,8997,9099
21.11 - 03.12,,,,,,,9552,,,,
24.11 - 05.12,8868,8868,8970,8970,9074,9074,,9074,9074,9074,9191
28.11 - 10.12,,,,,,,9421,,,,
16.02 - 27.02,,,9228,9228,9228,9228,,9228,9228,9333,9333
20.02 - 04.03,,,,,,,9028,,,,
23.02 - 06.03,8840,8840,9062,9062,9062,9062,,8868,8970,9074,9074
27.02 - 11.03,,,,,,,9121,,,,
02.03 - 13.03,9062,9062,9062,9062,9062,9062,,9062,9062,9062,9164
06.03 - 18.03,,,,,,,9187,,,,
09.03 - 20.03,8945,8945,9062,9062,9062,9062,,9062,9062,9062,9062
13.03 - 25.03,,,,,,,9290,,,,
16.03 - 27.03,8970,8970,8970,8970,8970,8970,,9293,9293,9293,9293
20.03 - 01.04,,,,,,,9449,,,,
23.03 - 03.04,,,9164,9164,9164,9385,,9385,9385,9385,9191
