,07.02.2025 21:16:15,08.02.2025 03:22:51,09.02.2025 03:25:15,10.02.2025 03:26:42,11.02.2025 03:25:25,12.02.2025 03:24:54,13.02.2025 03:25:08,14.02.2025 03:25:18,15.02.2025 03:25:47,16.02.2025 03:27:33,17.02.2025 03:27:57,18.02.2025 03:24:34,19.02.2025 03:28:26,19.02.2025 22:12:17,20.02.2025 03:26:18,21.02.2025 03:26:50,22.02.2025 03:24:13,23.02.2025 03:27:33,24.02.2025 03:29:37,25.02.2025 03:29:08,26.02.2025 03:28:57,27.02.2025 03:29:12,27.02.2025 23:26:12,28.02.2025 03:29:19,01.03.2025 03:33:00,02.03.2025 03:30:05,03.03.2025 03:31:14,04.03.2025 03:31:54,05.03.2025 03:29:46,12.03.2025 03:31:29,13.03.2025 03:32:39,14.03.2025 03:31:50,15.03.2025 03:29:11,16.03.2025 03:34:57,16.03.2025 22:24:47,17.03.2025 03:33:52,17.03.2025 21:16:01,18.03.2025 03:33:28,19.03.2025 03:32:50,20.03.2025 03:31:46,21.03.2025 03:33:45,22.03.2025 03:35:19,23.03.2025 03:35:28,24.03.2025 03:37:04,25.03.2025 03:34:45,26.03.2025 03:33:43,27.03.2025 03:37:08
01.05 - 13.05,18576,18576,18376,18376,18376,18376,18476,18676,18676,18676,18676,18776,18776,,,18776,17826,17826,17826,17826,17826,17876,17876,17876,17876,17076,16926,16926,17226,16326,15926,14976,15076,15076,15076,15076,14926,14926,15026,15026,14126,14376,14276,14276,14276,14276,14176
07.05 - 19.05,18026,18026,18026,18026,18026,18026,18026,18026,18026,18026,18026,18026,18026,18026,,18026,18026,18026,18026,18026,18026,18076,18076,18076,18076,17376,17026,17026,17026,16626,16126,15376,15376,15376,15376,15376,15026,15026,15026,15026,15126,15226,15226,15226,14826,14826,14826
14.05 - 26.05,16876,16876,16876,16876,16876,16876,16876,16776,16876,17076,17276,17676,17676,17476,17476,17476,17476,17476,17476,17476,17476,17626,17726,17726,17726,17726,17726,17726,17826,17626,17726,17726,17776,17776,17776,17776,17776,17776,17776,17776,16776,16776,16776,16776,16476,16476,16476
21.05 - 02.06,17376,17376,17376,17376,17376,17476,17676,17676,17676,17676,17676,17676,17576,17676,17676,17576,17576,17576,17576,17576,17576,17726,17826,17826,17826,17826,17826,17726,17726,17726,17726,17326,17326,17326,17326,17326,16626,16626,16626,16626,15626,15626,15626,15626,15626,15626,15626
28.05 - 09.06,15897,15897,15897,15897,16197,17097,17797,17997,17997,17897,17897,17897,17897,,,17797,17797,17797,17797,17997,17997,18347,18547,18547,18347,18347,18347,18147,18147,18147,18247,17726,17726,17726,17726,17726,17726,17726,17726,17726,16726,16726,16726,16726,16626,16626,16626
04.06 - 16.06,17176,17176,17176,17176,17176,17176,17176,17176,17176,17176,17176,17176,17176,17176,,17426,17426,17426,17426,17426,17426,17476,17376,17376,17376,17376,17376,17376,17376,17376,17376,17376,17376,17376,17376,17376,16926,16926,16926,16926,15926,15926,15926,15926,15926,15926,15926
05.06 - 17.06,16157,16157,16157,16157,16157,16157,16157,16157,16157,16157,16157,16157,16157,16157,16157,16157,16157,16157,16157,16157,16157,16207,16207,16207,16207,16207,16207,16207,16207,16207,16207,16207,16207,16207,16207,16207,16207,16207,16207,16207,15207,15207,15207,15207,15207,15207,15207
11.06 - 23.06,15947,15947,15947,15947,15947,16147,16547,16547,16347,16347,16347,16347,16347,16347,16347,16347,16347,16347,16347,16347,16347,16397,16397,16397,16397,16397,16397,16397,16397,16597,16597,16597,16597,16597,16597,16597,16597,16597,16597,16597,15597,15597,15597,15597,15597,15597,15597
12.06 - 24.06,16057,16057,16057,16057,16057,16057,16057,16057,16057,16057,16057,16057,16057,,,16057,16057,16057,16057,16057,16057,16107,16107,16107,16107,16107,16107,16107,16107,16107,16107,16107,16107,16107,16107,16107,16107,16107,16107,16107,15107,15107,15107,15107,15107,15107,15107
18.06 - 30.06,16257,16257,16357,16357,16557,16657,16826,16826,16826,16826,16826,16826,16826,16826,16826,16826,16826,16826,16826,16826,16826,16876,16876,16876,16876,16876,16876,16976,17076,17076,17176,17176,17176,,,,16826,16826,16926,16976,15976,15976,15976,15976,15976,15976,15976
19.06 - 01.07,16257,16257,16257,16257,16257,16257,16257,16257,16257,16257,16257,16257,16257,16257,16257,16257,16257,16257,16257,16257,16257,16307,16307,16307,16307,16307,16307,16307,16307,16307,16307,16307,16307,16307,16307,16307,16307,16307,16307,16307,15307,15307,15307,15307,15307,15307,15307
25.06 - 07.07,17626,17626,17626,17626,17626,17626,17626,17626,17626,17626,17626,17626,17626,,,17626,17626,17626,17626,17626,17626,17676,17676,17676,17676,17676,17676,17676,17676,17676,17676,17676,17676,,,,17676,17676,17676,17676,16676,16676,16676,16676,16676,16676,16676
26.06 - 08.07,17126,17126,17126,17126,17126,17126,17126,17126,17126,17126,17126,17126,17126,17126,,17126,17126,17126,17126,17126,17126,17176,17176,17176,17176,17176,17176,17176,17176,17176,17176,17176,17176,17176,17176,17176,17176,17176,17176,17176,16176,16176,16176,16176,16176,16176,16376
02.07 - 14.07,16926,16926,16926,16926,16926,16926,16926,16926,16926,16926,16926,16926,16926,16926,16926,16926,16926,16926,16926,16926,16926,16976,16976,16976,16976,17076,17076,17076,17176,17776,17476,17476,17476,17476,17476,17476,17476,17476,17476,17476,16476,16476,16476,16476,16476,16476,16476
03.07 - 15.07,16476,16476,16476,16476,16476,16476,16476,16476,16476,16476,16476,16476,16476,16476,16476,16476,16476,16776,17026,17326,17326,17276,17276,17276,17276,17276,17276,17276,17276,17276,17276,17276,17276,17276,17276,17276,17276,17276,17276,17276,16276,16276,16276,16276,16276,16276,16276
09.07 - 21.07,17326,17326,17326,17326,17326,17326,17326,17326,17326,17326,17326,17326,17326,,,17326,17326,17526,17526,17726,17526,17576,17576,17576,17576,17576,17576,17576,17576,17776,17776,17776,17776,17776,17776,17776,17776,17776,17776,17776,16776,16776,16776,16776,16776,16776,16776
10.07 - 22.07,16276,16276,16276,16276,16276,16276,16276,16376,16476,16476,16476,16476,16476,16476,,16476,16476,16476,16476,16476,16476,16526,16526,16526,16626,16626,16626,16626,16726,16726,16826,16826,16826,,,,16826,16826,16826,16926,16076,16076,16076,16076,16276,16476,16476
16.07 - 28.07,17176,17176,17176,17176,17176,17176,17176,17176,17176,17176,17176,17176,17176,17176,17176,17176,17176,17176,17176,17176,17176,17226,17426,17426,17626,17626,17626,17626,17626,17626,17626,17626,17626,17626,17626,17626,17626,17626,17626,17626,16626,16626,16626,16626,16626,16626,16626
17.07 - 29.07,16797,16797,16797,16797,16697,16697,16697,16697,16697,16697,16697,16697,16697,16697,16697,16697,16697,16697,16697,16697,16697,16747,16747,16747,16747,16747,16747,16747,16747,17247,17347,17147,17147,17147,17147,17147,17147,17147,17547,17447,16647,16647,16647,16647,16847,16847,16847
23.07 - 04.08,16876,16876,16876,16876,16876,16876,16976,17126,17126,17126,17126,17126,17126,17126,17126,17126,17126,17126,17126,17126,17126,17076,17076,17076,17076,17076,17076,17076,17076,17076,17076,17076,17076,17076,17076,17076,17076,17076,17176,17276,16576,16876,16876,16876,16776,16776,16776
24.07 - 05.08,17376,17376,17376,17376,17376,17376,17376,17376,17376,17376,17376,17376,17376,,,17376,17376,17476,17476,17576,17576,17626,17626,17626,17626,17626,17626,17626,17626,17626,17626,17626,17626,17626,17626,17626,17726,17726,18126,18426,17426,17226,17226,17226,17226,17226,17226
30.07 - 11.08,16526,16526,16726,16726,16926,16926,16926,16926,16926,16926,16926,16926,16926,16926,16926,16926,16926,16926,16926,16926,16926,16976,16976,16976,16976,16976,16976,16976,16976,16976,16976,16976,16976,16976,16976,16976,16976,16976,17076,17176,16176,16176,16176,16176,16176,16176,16176
31.07 - 12.08,16226,16226,16226,16226,16326,16426,16426,16426,16426,16426,16426,16426,16426,16426,16426,16426,16426,16426,16426,16426,16426,16476,16476,16476,16476,16476,16476,16476,16476,16476,16676,16676,16676,16676,16676,16676,16676,16676,16676,16676,15676,15676,15676,15676,15676,15676,15876
06.08 - 18.08,16697,16697,16697,16697,16747,16747,16747,16747,16747,16747,16747,16747,16747,16747,,16747,16747,16747,16747,16747,16747,16797,16797,16797,16797,16797,16797,16797,16797,16797,16797,16797,16797,16797,16797,16797,16797,16797,16797,16797,15797,15797,15797,15797,15797,15797,15797
07.08 - 19.08,16247,16247,16247,16247,16297,16297,16297,16297,16297,16297,16297,16297,16297,,,16297,16297,16297,16297,16297,16297,16347,16347,16347,16347,16347,16347,16347,16347,16647,16647,16647,16647,,,,16647,16647,16647,16647,15647,15647,15647,15647,15747,15847,15847
13.08 - 25.08,17376,17376,17376,17376,17426,17426,17426,17426,17426,17426,17426,17426,17426,17426,17426,17426,17426,17426,17426,17426,17426,17476,17476,17476,17476,17476,17476,17476,17476,17476,17476,17476,17476,17476,17476,17476,17476,17476,17476,17476,16476,16476,16476,16476,16476,16476,16476
14.08 - 26.08,16447,16447,16547,16547,16747,16647,16647,16647,16647,16647,16647,16647,16647,16647,16747,16747,16947,16947,16947,16947,16947,16897,16897,16897,16897,16897,16897,16897,16897,16897,16897,16897,16897,,,,16897,16897,16897,16897,15897,15897,15897,15897,15897,15897,15897
20.08 - 01.09,16376,16376,16376,16376,16426,16426,16426,16426,16426,16526,16526,16626,16626,16626,,16626,16626,16626,16626,16626,16626,16676,16676,16676,16676,16676,16676,16676,16676,16676,16676,16676,16676,,,,16676,16676,16676,16676,15676,16026,16026,16026,16026,16026,15826
21.08 - 02.09,15926,15926,15926,15926,15976,15976,15976,15976,15976,16076,16076,16076,16076,,,16726,16826,16826,16826,16926,16926,16976,16976,16976,16976,16976,16976,16976,16976,17176,17176,17176,17176,17176,17176,17176,17176,17176,17176,17176,16176,16576,16576,16576,16576,16576,16576
28.08 - 09.09,16226,16226,16226,16226,16276,16276,16176,16176,16176,16376,16576,16576,16576,,,17076,17076,17076,17076,16976,16976,17026,17026,17026,17026,17026,17026,17026,17026,17026,17026,17026,17026,17026,17026,17026,17026,17026,17026,17126,16326,16426,16326,16326,16326,16326,16326
29.08 - 10.09,16776,16776,16776,16776,16826,16826,16826,16826,16826,16826,16826,16826,16826,16826,,16927,17026,17026,17026,17026,17026,17076,17076,17076,17076,17076,17076,17076,17176,17176,17176,17076,17076,,,,17076,17076,17076,17076,16076,16076,16076,16076,16076,16076,16076
03.09 - 15.09,17327,17327,17327,17327,17398,17398,17398,17398,17398,17398,17398,17398,17398,17398,17398,17398,17398,17398,17398,17398,17398,17448,17448,17448,17448,17448,17448,17448,17448,17448,17448,17448,17448,17448,17448,17448,17448,17448,17448,17448,16447,16447,16447,16447,16447,16447,16447
04.09 - 16.09,16447,16447,16447,16447,16526,16526,16526,16526,16526,16526,16526,16526,16526,16526,16526,16626,16626,16626,16626,16626,16626,16676,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,15576,15576,15576,15576,15576,15576,15576
10.09 - 22.09,16826,16826,16826,16826,16897,16897,16897,16897,16897,16897,16897,16897,16897,,,16897,16897,16997,16997,17147,17147,17097,17097,17097,17097,17097,17097,17097,17097,17097,17097,17097,17097,,,,17097,17097,17097,17097,16097,16097,16097,16097,16097,16097,16097
11.09 - 23.09,17576,17576,17576,17576,17647,17647,17647,17647,17647,17647,17647,17647,17647,17647,,17647,17647,17647,17647,17647,17647,17697,17697,17697,17697,17697,17697,17697,17697,17997,17997,17997,17997,17997,17997,17997,17997,17997,17997,17997,16997,16997,16997,16997,16997,16997,16897
17.09 - 29.09,17526,17526,17526,17526,17597,17597,17597,17597,17597,17597,17597,17597,17597,17597,17597,17597,17597,17597,17597,17597,17597,17647,17647,17647,17647,17647,17647,17647,17647,17647,17647,17647,17647,,,,17647,17647,17647,17647,16647,16647,16647,16647,16647,16647,16647
18.09 - 30.09,16557,16557,16557,16557,16626,16726,16876,16876,16876,16876,16876,16876,16876,16976,16976,17076,17076,17076,17076,17076,17076,17276,17276,17276,17276,17276,17276,17276,17276,17626,17626,17626,17626,17626,17626,17626,17426,17426,17426,17426,16426,16426,16426,16426,16426,16426,16426
24.09 - 06.10,16748,16748,16748,16748,16826,16826,16826,16826,16826,16826,16826,16826,16826,,,16826,16826,16826,16826,16826,16826,16876,16876,16876,16876,16876,16876,16876,16876,17477,17477,17477,17477,17477,17477,17477,17477,17477,17477,17477,16477,16477,16477,16477,16477,16477,16477
01.10 - 13.10,15957,15957,15957,15957,15957,15957,15957,15957,15957,15957,15957,15957,15957,15957,,15957,15957,15957,15957,15957,15957,16007,16007,16007,16007,16007,16007,16007,16007,16007,16007,16007,16007,16007,16007,16007,16007,16007,16007,16007,15008,15008,15008,15008,15008,15008,15008
08.10 - 20.10,15676,15676,15676,15676,15676,15676,15676,15676,15676,15676,15676,15676,15676,15676,15676,15676,15676,15676,15676,15676,15676,15726,15827,15827,15926,16127,16127,16127,16077,16077,16077,16077,16077,16077,16077,16077,16077,16077,16077,16077,15076,15076,15076,15076,15076,15076,15076
15.10 - 27.10,15476,15476,15476,15476,15476,15476,15476,15476,15476,15476,15476,15476,15476,15476,15476,15476,15476,15476,15476,15476,15476,15526,15526,15526,15526,15526,15526,15526,15526,15526,15526,15526,15526,15526,15526,15526,15526,15526,15526,15526,14726,14976,14976,14976,14876,14976,14976
22.10 - 03.11,15299,15299,15299,15299,15299,15399,15599,15599,15599,15599,15599,15499,15499,15499,15499,15499,15526,15526,15526,15526,15526,15576,15576,15576,15576,15576,15576,15576,15576,15576,15576,15576,15576,15576,15576,15576,15576,15576,15576,15576,14576,14576,14576,14576,14576,14576,14576
29.10 - 10.11,14350,14350,14547,14547,14744,14843,15040,15040,15040,15040,15040,15040,15040,,,15040,15257,15257,15257,15257,15257,15307,15307,15307,15307,15207,15207,15207,15207,15207,15207,15207,15207,15207,15207,15207,15207,15207,15207,15207,14207,14207,14207,14207,14207,14207,14207
05.11 - 17.11,,,,,,,,,,,,,,,,,,,,,,,,,15458,15458,15458,15458,15458,15458,15458,15458,15458,,,,15458,15458,15458,15458,15458,15458,15458,15458,15458,15458,15458
12.11 - 24.11,,,,,,,,,,,,,,,,,,,,,,,,,15427,15427,15427,15427,15427,15426,15426,15526,15626,15626,15626,15626,15626,15626,15626,15626,15626,15626,15626,15626,15626,15626,15626
19.11 - 01.12,,,,,,,,,,,,,,,,,,,,,,,,15180,15180,15180,15180,15180,15180,15397,15397,15397,15397,15397,15397,15397,15397,15397,15397,15397,15397,15397,15397,15397,15397,15397,15497
26.11 - 08.12,,,,,,,,,,,,,,,,,,,,,,,,,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555,15555
03.12 - 15.12,,,,,,,,,,,,,,,,,,,,,,,,,15427,15427,15427,15427,15427,15427,15427,15427,15427,15427,15427,15427,15427,15427,15427,15427,15427,15427,15427,15427,15427,15427,15427
10.12 - 22.12,,,,,,,,,,,,,,,,,,,,,,,,15180,15180,15180,15180,15180,15180,15180,15180,15180,15180,15180,15180,15180,15180,15180,15180,15180,15180,15180,15180,15180,15180,15180,15180
17.12 - 29.12,,,,,,,,,,,,,,,,,,,,,,,,,15641,15641,15641,15641,15641,15641,15641,15641,15641,15647,15647,15647,15647,15647,15647,15647,15647,15647,15647,15647,15647,15647,15647
24.12 - 05.01,,,,,,,,,,,,,,,,,,,,,,,,16628,16628,16628,16628,16628,16628,16628,16628,16628,16628,16628,16628,16628,16628,16628,16628,16628,16628,16628,16628,16628,16628,16628,16628
31.12 - 12.01,,,,,,,,,,,,,,,,,,,,,,,,16628,16628,16628,16628,16628,16628,16628,16628,16628,16628,16628,16628,16628,16628,16628,16628,16628,16628,16628,16628,16628,16628,16628,16628
07.01 - 19.01,,,,,,,,,,,,,,,,,,,,,,,,,14943,14943,14943,14943,14943,14948,14948,14948,14948,14948,14948,14948,14948,14948,14948,14948,14948,14948,14948,14948,14948,14948,14948
14.01 - 26.01,,,,,,,,,,,,,,,,,,,,,,,,15121,15121,15121,15121,15121,15121,15121,15121,15121,15121,15121,15121,15121,15121,15121,15121,15121,15121,15121,15121,15121,15121,15121,15121
21.01 - 02.02,,,,,,,,,,,,,,,,,,,,,,,,15221,15221,15221,15221,15221,15221,15221,15221,15221,15221,15221,15221,15221,15221,15221,15221,15221,15221,15221,15221,15221,15221,15221,15221
28.01 - 09.02,,,,,,,,,,,,,,,,,,,,,,,,15402,15402,15402,15402,15402,15402,15402,15402,15402,15402,15402,15402,15402,15402,15402,15402,15402,15402,15402,15402,15402,15402,15402,15402
04.02 - 16.02,,,,,,,,,,,,,,,,,,,,,,,,15890,15890,15890,15890,15890,15890,15890,15890,15890,15890,15890,15890,15890,15890,15890,15890,15890,15890,15890,15890,15890,15890,15890,15890
11.02 - 23.02,,,,,,,,,,,,,,,,,,,,,,,,,15602,15602,15602,15602,15602,15602,15602,15602,15602,15602,15602,15602,15602,15602,15602,15602,15602,15602,15602,15602,15602,15602,15602
18.02 - 02.03,,,,,,,,,,,,,,,,,,,,,,,,15602,15602,15602,15602,15602,15602,15602,15602,15602,15602,15602,15602,15602,15602,15602,15602,15602,15602,15602,15602,15602,15602,15602,15602
25.02 - 09.03,,,,,,,,,,,,,,,,,,,,,,,,,15318,15318,15318,15318,15318,15318,15318,15318,15318,15318,15318,15318,15318,15318,15318,15318,15318,15318,15318,15318,15318,15318,15318
04.03 - 16.03,,,,,,,,,,,,,,,,,,,,,,,,15202,15202,15202,15202,15202,15202,15202,15202,15202,15202,15202,15202,15202,15202,15202,15202,15202,15202,15202,15202,15202,15202,15202,15202
11.03 - 23.03,,,,,,,,,,,,,,,,,,,,,,,,,15123,15123,15123,15123,15123,15123,15123,15123,15123,15123,15123,15123,15123,15123,15123,15123,15123,15123,15123,15123,15123,15123,15123
12.03 - 24.03,15426,15426,14926,15426,,,15476,15732,15426,14726,15426,15626,15626,13726,13726,13926,13026,12426,13526,12626,11926,,,,,,,,,,,,,,,,,,,,,,,,,,
18.03 - 30.03,,,,,,,,,,,,,,,,,,,,,,,,,15123,15123,15123,15123,15123,15123,15123,15123,15123,,,,15123,15123,15123,15123,15123,15123,15123,15123,15123,15123,15123
25.03 - 06.04,,,,,,,,,,,,,,,,,,,,,,,,15586,15586,15586,15586,15586,15586,15586,15586,15586,15586,15586,15586,15586,15586,15586,15586,15586,15586,15586,15586,15586,15586,15586,15586
